dataset,seed_a,seed_b,layer_i,layer_j,same_depth,metric,value
mnist,42,123,1,1,True,cka,0.964693546295166
mnist,42,123,1,1,True,cosine,0.43373221158981323
mnist,42,123,1,1,True,svcca,0.6782179791069608
mnist,42,123,1,1,True,pwcca,0.8656984592904525
mnist,42,123,1,2,False,cka,0.9401902556419373
mnist,42,123,1,2,False,cosine,0.45469969511032104
mnist,42,123,1,2,False,svcca,0.6623262655663985
mnist,42,123,1,2,False,pwcca,0.880745976347564
mnist,42,123,1,3,False,cka,0.8989216685295105
mnist,42,123,1,3,False,cosine,0.4791368842124939
mnist,42,123,1,3,False,svcca,0.6500242152682368
mnist,42,123,1,3,False,pwcca,0.8665589699222541
mnist,42,123,1,4,False,cka,0.8698117136955261
mnist,42,123,1,4,False,cosine,0.4720560908317566
mnist,42,123,1,4,False,svcca,0.6292731305088951
mnist,42,123,1,4,False,pwcca,0.8472063736051801
mnist,42,123,2,1,False,cka,0.9424111247062683
mnist,42,123,2,1,False,cosine,0.4635249972343445
mnist,42,123,2,1,False,svcca,0.6549563109404757
mnist,42,123,2,1,False,pwcca,0.9148068814442503
mnist,42,123,2,2,True,cka,0.9575186967849731
mnist,42,123,2,2,True,cosine,0.499683678150177
mnist,42,123,2,2,True,svcca,0.6786245353510797
mnist,42,123,2,2,True,pwcca,0.9233043248809616
mnist,42,123,2,3,False,cka,0.936661958694458
mnist,42,123,2,3,False,cosine,0.4768335223197937
mnist,42,123,2,3,False,svcca,0.6731417586421083
mnist,42,123,2,3,False,pwcca,0.8949590546506258
mnist,42,123,2,4,False,cka,0.9145695567131042
mnist,42,123,2,4,False,cosine,0.4627624452114105
mnist,42,123,2,4,False,svcca,0.6592686419647684
mnist,42,123,2,4,False,pwcca,0.89075957410406
mnist,42,123,3,1,False,cka,0.9122876524925232
mnist,42,123,3,1,False,cosine,0.4632546901702881
mnist,42,123,3,1,False,svcca,0.6323332055416586
mnist,42,123,3,1,False,pwcca,0.9281298570928973
mnist,42,123,3,2,False,cka,0.953747570514679
mnist,42,123,3,2,False,cosine,0.5008660554885864
mnist,42,123,3,2,False,svcca,0.6727404068329366
mnist,42,123,3,2,False,pwcca,0.9414356730499654
mnist,42,123,3,3,True,cka,0.9505496025085449
mnist,42,123,3,3,True,cosine,0.48554885387420654
mnist,42,123,3,3,True,svcca,0.6889153091993476
mnist,42,123,3,3,True,pwcca,0.9071202819232628
mnist,42,123,3,4,False,cka,0.9409826397895813
