dataset,seed,layer_i,layer_j,layer_distance,metric,value
mnist,42,1,1,0,cka,1.000000238418579
mnist,42,1,1,0,cosine,1.0
mnist,42,1,1,0,svcca,0.9999999933199034
mnist,42,1,1,0,pwcca,0.9999999981727832
mnist,42,1,2,1,cka,0.9746161103248596
mnist,42,1,2,1,cosine,0.4671807885169983
mnist,42,1,2,1,svcca,0.7203899892098942
mnist,42,1,2,1,pwcca,0.9178351917707381
mnist,42,1,3,2,cka,0.9375353455543518
mnist,42,1,3,2,cosine,0.48352286219596863
mnist,42,1,3,2,svcca,0.6546844924116204
mnist,42,1,3,2,pwcca,0.8944420366244777
mnist,42,1,4,3,cka,0.9015383124351501
mnist,42,1,4,3,cosine,0.4551662504673004
mnist,42,1,4,3,svcca,0.6353472757745232
mnist,42,1,4,3,pwcca,0.8718902477970993
mnist,42,2,1,1,cka,0.9746161103248596
mnist,42,2,1,1,cosine,0.4671807885169983
mnist,42,2,1,1,svcca,0.7203899892098956
mnist,42,2,1,1,pwcca,0.9377858478746937
mnist,42,2,2,0,cka,0.9999998211860657
mnist,42,2,2,0,cosine,1.0
mnist,42,2,2,0,svcca,0.9999999727610166
mnist,42,2,2,0,pwcca,0.9999999953220375
mnist,42,2,3,1,cka,0.9845133423805237
mnist,42,2,3,1,cosine,0.5277740359306335
mnist,42,2,3,1,svcca,0.7233523253936972
mnist,42,2,3,1,pwcca,0.9409261135428532
mnist,42,2,4,2,cka,0.9577734470367432
mnist,42,2,4,2,cosine,0.4489835500717163
mnist,42,2,4,2,svcca,0.68440314061807
mnist,42,2,4,2,pwcca,0.9179036010500059
mnist,42,3,1,2,cka,0.9375353455543518
mnist,42,3,1,2,cosine,0.48352286219596863
mnist,42,3,1,2,svcca,0.6546844924116204
mnist,42,3,1,2,pwcca,0.9356231629668169
mnist,42,3,2,1,cka,0.9845133423805237
mnist,42,3,2,1,cosine,0.5277740359306335
mnist,42,3,2,1,svcca,0.7233523253936976
mnist,42,3,2,1,pwcca,0.9294036822543549
mnist,42,3,3,0,cka,0.9999999403953552
mnist,42,3,3,0,cosine,1.0
mnist,42,3,3,0,svcca,0.9999999136003674
mnist,42,3,3,0,pwcca,0.9999999908730722
mnist,42,3,4,1,cka,0.9897106885910034
mnist,42,3,4,1,cosine,0.4547804892063141
mnist,42,3,4,1,svcca,0.7361437382341638
mnist,42,3,4,1,pwcca,0.9498787155518915
mnist,42,4,1,3,cka,0.9015383124351501
mnist,42,4,1,3,cosine,0.4551662504673004
mnist,42,4,1,3,svcca,0.6353472757745223
mnist,42,4,1,3,pwcca,0.9351130980717047
mnist,42,4,2,2,cka,0.9577734470367432
mnist,42,4,2,2,cosine,0.4489835500717163
mnist,42,4,2,2,svcca,0.6844031406180713
mnist,42,4,2,2,pwcca,0.951261681788004
mnist,42,4,3,1,cka,0.9897106885910034
mnist,42,4,3,1,cosine,0.4547804892063141
mnist,42,4,3,1,svcca,0.7361437382341647
mnist,42,4,3,1,pwcca,0.9651419820406952
mnist,42,4,4,0,cka,1.000000238418579
mnist,42,4,4,0,cosine,1.0
mnist,42,4,4,0,svcca,0.999999819339559
mnist,42,4,4,0,pwcca,0.9999999894130422
mnist,123,1,1,0,cka,1.0000003576278687
mnist,123,1,1,0,cosine,1.0
mnist,123,1,1,0,svcca,0.9999999928574659
mnist,123,1,1,0,pwcca,0.9999999980402884
mnist,123,1,2,1,cka,0.9591692090034485
mnist,123,1,2,1,cosine,0.48874351382255554
mnist,123,1,2,1,svcca,0.7185847348269403
mnist,123,1,2,1,pwcca,0.9098270013695865
mnist,123,1,3,2,cka,0.9113239645957947
mnist,123,1,3,2,cosine,0.4528917372226715
mnist,123,1,3,2,svcca,0.6610765105091521
mnist,123,1,3,2,pwcca,0.8884532868196237
mnist,123,1,4,3,cka,0.8768035173416138
mnist,123,1,4,3,cosine,0.46538254618644714
mnist,123,1,4,3,svcca,0.6280503149425553
mnist,123,1,4,3,pwcca,0.8646318068462505
mnist,123,2,1,1,cka,0.9591692090034485
mnist,123,2,1,1,cosine,0.48874351382255554
mnist,123,2,1,1,svcca,0.7185847348269396
mnist,123,2,1,1,pwcca,0.8885297101516272
mnist,123,2,2,0,cka,1.0
mnist,123,2,2,0,cosine,1.0
mnist,123,2,2,0,svcca,0.99998684391609
mnist,123,2,2,0,pwcca,0.9999999939682219
mnist,123,2,3,1,cka,0.9854438900947571
mnist,123,2,3,1,cosine,0.5012556314468384
mnist,123,2,3,1,svcca,0.7405896694974815
mnist,123,2,3,1,pwcca,0.939338082020092
mnist,123,2,4,2,cka,0.9638696312904358
mnist,123,2,4,2,cosine,0.46390801668167114
mnist,123,2,4,2,svcca,0.6926766360158654
mnist,123,2,4,2,pwcca,0.9152143830079212
mnist,123,3,1,2,cka,0.9113239645957947
mnist,123,3,1,2,cosine,0.4528917372226715
mnist,123,3,1,2,svcca,0.6610765105091512
mnist,123,3,1,2,pwcca,0.9322819806535514
mnist,123,3,2,1,cka,0.9854438900947571
mnist,123,3,2,1,cosine,0.5012556314468384
mnist,123,3,2,1,svcca,0.7405896694974823
mnist,123,3,2,1,pwcca,0.9563554236810038
mnist,123,3,3,0,cka,1.0000005960464478
mnist,123,3,3,0,cosine,1.0
mnist,123,3,3,0,svcca,0.9999999364917188
mnist,123,3,3,0,pwcca,0.9999999923794316
mnist,123,3,4,1,cka,0.989125669002533
mnist,123,3,4,1,cosine,0.45692360401153564
mnist,123,3,4,1,svcca,0.7241265821300507
mnist,123,3,4,1,pwcca,0.9559578158370065
mnist,123,4,1,3,cka,0.8768035173416138
